product_id,run_id,normalized_text,semantic_confidence,semantic_explanation,semantic_validation_passed,semantic_reject_reason,decision_status,next_action,selected_category_id,stage,log_status,attr_mnn,label_mnn,attr_brand,label_brand,attr_rx_otc,label_rx_otc,attr_nosology,label_nosology,attr_administration_route,label_administration_route,attr_dosage_form,label_dosage_form,attr_dosage,label_dosage,attr_age_segment,label_age_segment,attr_package_hint,label_package_hint,attr_combination_hint,label_combination_hint
66,300,ТРИВЕС бандаж шейный мягкий д/взрослых Т.51.01 (ТВ-003.8) р.8.3 Тривес ООО | Тривес ООО | Тривес ООО,0.9,"Товар представляет собой мягкий шейный бандаж для взрослых, производитель Тривес. Это медицинское изделие безрецептурного отпуска. Дозировка и МНН отсутствуют.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Тривес,,otc,,,,,,бандаж шейный мягкий,,,,взрослые,,,,,
89,300,ПЕРЧАТКИ СМОТРОВЫЕ нитриловые нестерильные неопудренные голубые р.ХS N50 Жонхон Пулин Медикал Продактс Ко Лтд К | Жонхон Пулин Медикал Продактс Ко Лтд К | Жонхон Пулин Медикал Продактс Ко Лтд К | N50,0.6,"Товар представляет собой медицинские перчатки, а не лекарственное средство, поэтому атрибуты, специфичные для лекарств (МНН, форма выпуска, дозировка и т.д.), отсутствуют. Указаны только размер и количество в упаковке.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,,,,,,,,,,,,N50,,,
4611,300,ТОРАКСОЛ СОЛЮШН ТАБЛЕТС ТАБЛ. ДИСПЕРГ. 60МГ №10 | ОЗОН ООО | ОЗОН ООО,0.8,"На основе названия товара 'Тораксол' и формы 'таблетки диспергируемые' можно предположить, что это безрецептурный препарат амброксола в дозировке 60 мг, упаковка 10 таблеток.",True,,pending_fallback,direction_select,,semantic_primary,success,амброксол,,Тораксол,,otc,,,,перорально,,таблетки диспергируемые,,60 мг,,,,10 таблеток,,false,
5212,300,ТАУРИН 1000 ТАБЛ. П/О ПО 1545МГ №30 | КВАДРАТ-С ООО | КВАДРАТ-С ООО,0.8,"Наименование товара указывает на действующее вещество таурин, лекарственную форму — таблетки покрытые оболочкой, дозировку 1545 мг и количество 30 штук. Таурин обычно применяется как биологически активная добавка, поэтому отнесён к безрецептурным средствам для взрослых.",True,,pending_fallback,direction_select,,semantic_primary,success,Таурин,,,,Без рецепта,,,,орально,,таблетки покрытые оболочкой,,1545 мг,,взрослые,,30 таблеток,,монопрепарат,
6168,300,СОЛНЦЕ И ЛУНА ECO ДИСКИ ВАТНЫЕ ХЛОПКОВЫЕ ОВАЛЬНЫЕ №40 | КОТТОН КЛАБ-ГИГИЕНА ООО | КОТТОН КЛАБ-ГИГИЕНА ООО,0.8,"Товар представляет собой ватные диски для гигиенических целей. Это не лекарственное средство, поэтому большинство фармацевтических атрибутов отсутствуют. Извлеченные атрибуты: бренд 'СОЛНЦЕ И ЛУНА', лекарственная форма 'диски ватные', упаковка 40 штук.",True,,pending_fallback,direction_select,,semantic_primary,success,,,СОЛНЦЕ И ЛУНА,,,,,,,,диски ватные,,,,,,40 шт,,,
6613,300,"СИНАФЛАН МАЗЬ Д/НАРУЖ. ПРИМ. 0,025% ТУБА 10Г МУРОМСКИЙ ПСЗ | МУРОМСКИЙ ПЗ | МУРОМСКИЙ ПЗ",0.8,"Наименование товара содержит указание на мазь для наружного применения с концентрацией 0,025% в тубе 10 г. Активное вещество — флуоцинолона ацетонид, что соответствует бренду Синафлан. Другие атрибуты (например, рецептурность, возрастной сегмент) в тексте не указаны.",True,,pending_fallback,direction_select,,semantic_primary,success,Флуоцинолона ацетонид,,Синафлан,,,,,,наружное,,мазь,,"0,025%",,,,туба 10г,,false,
10704,300,ОЛЕОС МАСЛО РЕПЕЙНОЕ С ЭКСТРАКТОМ ПРОПОЛИСА ФЛ. 100МЛ | ОЛЕОС ООО | ОЛЕОС ООО,0.95,"Это косметическое масло для волос, не является лекарственным средством. Атрибуты, характерные для лекарств, отсутствуют.",True,,pending_fallback,direction_select,,semantic_primary,success,,,ОЛЕОС,,,,,,,,,,,,,,флакон 100 мл,,,
15375,300,"ЛЕЦИТИН НАШ С РАСТОРОПШЕЙ КАПС. ПО 0,35Г №60 | ЮВИКС-ФАРМ ООО | ЮВИКС-ФАРМ ООО",0.9,"Товар представляет собой биологически активную добавку (БАД) в форме капсул, содержащую лецитин и расторопшу. Дозировка 0,35 г, в упаковке 60 капсул. Безрецептурный отпуск.",True,,pending_fallback,direction_select,,semantic_primary,success,,,НАШ,,otc,,,,перорально,,капсулы,,0.35 г,,,,60 капсул,,лецитин с расторопшей,
16215,300,ЛАББИ JUST LUBBY ПУСТЫШКА ЛАТЕКСНАЯ КРУГЛАЯ С КОЛПАЧКОМ 0МЕС+ АРТ. 23819 | ГОЛД ЛИСТ АГ АО | ГОЛД ЛИСТ АГ АО,1,"Товар представляет собой латексную пустышку для младенцев, не является лекарственным средством. Все фармацевтические атрибуты отсутствуют.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,,,,,,,,,,,,,,,,
16411,300,"КСИЛЕН КАПЛИ НАЗ. 0,1% ФЛ-КАП. 20МЛ №4 | ВЕРОФАРМ ООО | ВЕРОФАРМ ООО",0.95,"Товар представляет собой назальные капли с действующим веществом ксилометазолин (МНН, бренд Ксилен). Это безрецептурное средство для симптоматического лечения ринита. Форма выпуска: флакон-капельница 20 мл с концентрацией 0,1%.",True,,pending_fallback,direction_select,,semantic_primary,success,ксилометазолин,,Ксилен,,otc,,ринит,,назально,,капли назальные,,"0,1%",,взрослые и дети старше 6 лет,,флакон-капельница 20 мл,,,
17010,300,КОМПЛЕКС 5-HTP НОЧНОЙ ТАБЛ. П/О №30 | КВАДРАТ-С ООО | КВАДРАТ-С ООО,0.7,"Товар представляет собой комплекс с 5-HTP в форме таблеток, покрытых оболочкой, упаковка 30 штук. Относится к БАД или безрецептурным средствам. Дозировка и возрастной сегмент не указаны.",True,,pending_fallback,direction_select,,semantic_primary,success,,,,,otc,,,,peroral,,"таблетки, покрытые оболочкой",,,,,,30,,комбинированный,
18205,300,"КАЛЬЦИНОВА ТАБЛ. ФРУКТОВЫЕ №27 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",0.6,"Наименование товара указывает на таблетки с фруктовым вкусом, возможно, содержащие кальций. Однако точный МНН и дозировка не указаны, поэтому атрибуты частично определены.",True,,pending_fallback,direction_select,,semantic_primary,success,,,КАЛЬЦИНОВА,,otc,,,,орально,,таблетки,,,,,,27 таблеток,,,
21325,300,"ГЕРБИОН ПЛЮЩ ТАБЛ. Д/РАССАС. 35МГ №16 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",0.7,"Товар содержит экстракт плюща, применяется как отхаркивающее средство при кашле. Отпускается без рецепта.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Гербион Плющ,,otc,,"Заболевания дыхательных путей, кашель",,орально,,таблетки для рассасывания,,35 мг,,,,16 таблеток,,,
23183,300,"БРОНХОМИШКА ПОР. Д/Р-РА Д/ПРИЕМА ВНУТРЬ ПАК. 1,47Г №15 | МЕЛИГЕН ФП | МЕЛИГЕН ФП",0.6,"Название 'Бронхомишка' и форма выпуска (порошок для приема внутрь) указывают на детское средство от кашля. Дозировка 1.47 г и количество 15 пакетиков указаны в описании. Препарат, вероятно, отпускается без рецепта, но точное МНН и комбинация активных веществ неизвестны.",True,,pending_fallback,direction_select,,semantic_primary,success,,,Бронхомишка,,otc,,"Заболевания дыхательных путей, кашель",,внутрь,,порошок для приготовления раствора для приема внутрь,,1.47 г,,дети,,15 пакетиков,,,
25794,300,АНАЛЬГИН ТАБЛ. 500МГ №20 БИОХИМИК | БИОХИМИК АО | БИОХИМИК АО,0.9,"Товар представляет собой лекарственный препарат Анальгин (метамизол натрия) в форме таблеток по 500 мг, упаковка 20 штук. Относится к безрецептурным анальгетикам-антипиретикам. Атрибуты определены на основе наименования и стандартных знаний о препарате.",True,,pending_fallback,direction_select,,semantic_primary,success,метамизол натрия,,Анальгин,,otc,,,,перорально,,таблетки,,500 мг,,,,20 таблеток в упаковке,,,
